# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1417491216;53829604;210694820;79.65;440612;5536756;209540228;76.78
axle;60;1417491276;55573040;208951384;78.99;440664;5543032;207485608;76.03
axle;60;1417491336;55573672;208950752;78.99;440700;5547448;207482680;76.03
axle;60;1417491396;55570000;208954424;78.99;440740;5552004;207483124;76.03
axle;60;1417491456;55571100;208953324;78.99;440780;5555080;207477284;76.02
axle;60;1417491516;55568644;208955780;78.99;440832;5556416;207477476;76.02
axle;60;1417491576;55567548;208956876;78.99;440864;5558112;207477468;76.02
axle;60;1417491636;55566236;208958188;78.99;440904;5559884;207477276;76.02
axle;60;1417491696;55561640;208962784;79.00;440928;5561184;207477284;76.02
axle;60;1417491756;55559272;208965152;79.00;440960;5563192;207477284;76.02
axle;60;1417491816;55560720;208963704;79.00;440984;5565000;207477476;76.02
axle;60;1417491876;55558160;208966264;79.00;441004;5566464;207477284;76.02
axle;60;1417491936;55556876;208967548;79.00;441068;5568160;207477284;76.02
axle;60;1417491996;55552440;208971984;79.00;441092;5569716;207477476;76.02
axle;60;1417492056;55552192;208972232;79.00;441128;5571348;207477472;76.02
axle;60;1417492116;55552928;208971496;79.00;441168;5573116;207469264;76.02
axle;60;1417492176;51350876;213173548;80.59;441200;5575016;211669852;77.56
axle;60;1417492236;51352512;213171912;80.59;441236;5576668;211669852;77.56
axle;60;1417492296;51349816;213174608;80.59;441276;5578492;211669852;77.56
axle;60;1417492356;51348892;213175532;80.59;441308;5580016;211669852;77.56
axle;60;1417492416;55325660;209198764;79.08;441352;5581648;207696464;76.10
axle;60;1417492476;51347320;213177104;80.59;441380;5583308;211667356;77.56
axle;60;1417492536;51347992;213176432;80.59;441412;5584624;211667352;77.56
axle;60;1417492596;51342448;213181976;80.59;441440;5586212;211667356;77.56
axle;60;1417492656;51343780;213180644;80.59;441480;5587688;211667356;77.56
axle;60;1417492716;51340828;213183596;80.59;441516;5589164;211667356;77.56
axle;60;1417492776;51338244;213186180;80.59;441556;5590720;211667356;77.56
axle;60;1417492836;51338444;213185980;80.59;441600;5592344;211667352;77.56
axle;60;1417492896;51336220;213188204;80.59;441636;5593720;211667356;77.56
axle;60;1417492956;51334028;213190396;80.59;441660;5595036;211667356;77.56
axle;60;1417493016;51329236;213195188;80.60;441692;5596392;211667356;77.56
axle;60;1417493076;55519180;209005244;79.01;441732;5612792;207480272;76.03
axle;60;1417493136;55516016;209008408;79.01;441776;5620336;208515556;76.40
